epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2876,1.95084,5.34758,1.29769,0.00205,0.61538,0.00375,0.0016,1.54583,5.17622,1.07978,0.00024,0.00024,0.00024
2,74.4553,1.66726,3.43132,1.19321,0.00256,0.76923,0.00813,0.00339,1.62834,5.16128,1.10519,0.0004901,0.0004901,0.0004901
3,110.222,1.64144,2.98338,1.15586,0.00141,0.42308,0.03638,0.01792,1.70037,4.90441,1.17085,0.000729904,0.000729904,0.000729904
4,145.641,1.67086,2.87835,1.22126,0.00064,0.19231,0.00128,0.00074,1.49173,5.3084,1.17449,0.000959412,0.000959412,0.000959412
5,181.692,1.73656,2.71214,1.22998,0.00231,0.69231,0.00809,0.00344,1.74575,5.03949,1.37381,0.00117862,0.00117862,0.00117862
6,216.087,1.67441,2.63874,1.26321,0.00308,0.92308,0.00464,0.00197,1.83451,8.92596,1.32577,0.00138754,0.00138754,0.00138754
7,249.201,1.68598,2.51259,1.26447,0.01849,0.15385,0.01091,0.00515,1.80209,6.28245,1.26143,0.00158616,0.00158616,0.00158616
8,283.541,1.5403,2.23269,1.28211,0.20909,0.34615,0.11882,0.06742,1.62901,3.939,1.12455,0.0017228,0.0017228,0.0017228
